gtest 1.17.0-1.1
gtk-layer-shell 0.9.2-1.1
gtk-update-icon-cache 1:4.20.1-1.1
gtk3 1:3.24.50-1.1
gtk4 1:4.20.1-1.1
gtkmm-4.0 4.20.0-1.1
gtkmm3 3.24.10-1.1
gtksourceview4 4.8.4-2.1
guile 3.0.10-1.1
gupnp 1:1.6.9-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 11.5.1-1.1
haveged 1.9.19-1.1
hdparm 9.65-3.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.3.0-1.1
hwdata 0.399-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2.1
hyprcursor 0.1.13-1.1
hyprgraphics 0.1.6-1.1
hyprland 0.51.1-1
hyprland-qt-support 0.1.0-7.1
hyprland-qtutils 0.1.5-1.1
hyprlang 0.6.4-1.1
hyprutils 0.8.4-1.1
hyprwayland-scanner 0.4.5-1.1
iana-etc 20250612-1
icu 76.1-1.1
imagemagick 7.1.2.3-2.1
imath 3.2.1-1.1
inetutils 2.6-1
inotify-tools 4.25.9.0-1.1
inxi 3.3.39.1-1
iproute2 6.16.0-2.1
iptables-nft 1:1.8.11-2.1
iputils 20250605-1.1
iso-codes 4.18.0-1
iw 6.17-1.1
iwd 3.10-1.1
jack2 1.9.22-1.1
jansson 2.14.1-1.1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8.1
jdk-openjdk 25.u36-3
jemalloc 1:5.3.0-5.1
jfsutils 1.1.15-9.1
jq 1.8.1-1.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
jsoncpp 1.9.6-3.3
kbd 2.8.0-1.1
kconfig 6.18.0-1.1
kcoreaddons 6.18.0-1.1
kcrash 6.18.0-1.1
kdbusaddons 6.18.0-1.1
keyutils 1.6.3-3.1
ki18n 6.18.0-1.1
kirigami 6.18.0-1.1
kmod 34.2-1
knotifications 6.18.0-1.1
krb5 1.21.3-2.1
kvantum 1.1.5-1.1
kvantum-theme-nordic-git 2.2.0.r71.gff8165c-1
kwindowsystem 6.18.0-1.2
l-smash 2.14.5-4.1
lame 3.100-6.1
lcms2 2.17-1.1
leancrypto 1.5.1-1.1
less 1:679-1.1
lib32-audit 4.0.5-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-clang 20.1.8-1
lib32-curl 8.16.0-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.3-1
lib32-gcc-libs 15.2.1+r22+gc4e96a094636-2
lib32-glibc 2.42+r17+gd7274d718e6f-2
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.125-1
lib32-libelf 0.193-4
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.55-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.67.1-1
lib32-libnghttp3 1.12.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.15.0-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:20.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.2.3-3
lib32-ncurses 6.5-2
lib32-opencl-mesa 1:25.2.3-3
lib32-openssl 1:3.5.3-1
lib32-pam 1.7.1-1
lib32-spirv-llvm-translator 20.1.5-1
lib32-spirv-tools 1:1.4.321.0-1
lib32-systemd 258-1
lib32-vulkan-icd-loader 1.4.321.0-1
lib32-vulkan-mesa-device-select 1:25.2.3-3
lib32-vulkan-radeon 1:25.2.3-3
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.1-1
lib32-zlib-ng 2.2.4-1
lib32-zlib-ng-compat 2.2.4-1
lib32-zstd 1.5.7-2
libaio 0.3.113-3.1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1.1
libass 0.17.4-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libavc1394 0.5.4-7.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libbluray 1.3.4-3.1
libbpf 1.5.1-1.1
libbs2b 3.1.0-9.2
libbsd 0.12.2-2.1
libcanberra 1:0.30+r2+gc0620e4-4.1
libcap 2.76-1.2
libcap-ng 0.8.5-3.1
libcdio 2.2.0-1.1
libclc 20.1.6-1
libcloudproviders 0.3.6-2.1
libcolord 1.4.8-1
libcups 2:2.4.14-1
libdaemon 0.14-6.1
libdatrie 0.2.13-4.1
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1.1
libdca 0.0.7-2.1
libde265 1.0.16-1.1
libdecor 0.2.3-1.1
libdeflate 1.24-1.1
libdisplay-info 0.3.0-1.1
libdovi 3.3.2-1.1
libdrm 2.4.125-1.1
libdv 1.0.0-11.1
libdvdcss 1.4.3-2.1
libdvdnav 6.1.1-2.1
libdvdread 6.1.3-2.1
libebur128 1.2.6-2.1
libedit 20250104_3.1-1.1
libei 1.5.0-1.1
libelf 0.193-5
libepoxy 1.5.10-3.1
libevdev 1.13.4-1.1
libevent 2.1.12-4.1
libfdk-aac 2.0.3-1.1
libffi 3.5.2-1.1
libfontenc 1.1.8-1.1
libfreeaptx 0.2.2-1.1
libgcrypt 1.11.2-1.1
libgirepository 1.86.0-1.1
libgit2 1:1.9.1-1.1
libglvnd 1.7.0-3.1
libgme 0.6.4-1.1
libgpg-error 1.55-1.1
libgsf 1.14.53-2.1
libgudev 238-3.1
libice 1.1.2-1.1
libidn2 2.3.7-1.1
libiec61883 1.2.0-9.1
libimobiledevice 1.3.0-17.1
libimobiledevice-glue 1.3.2-1.1
libinih 61-1.1
libinput 1.29.1-1.1
libinstpatch 1.1.7-2.1
libisl 0.27-1.1
libjpeg-turbo 3.1.2-1.1
libjxl 0.11.1-4.1
libksba 1.6.7-2.1
liblc3 1.1.3-1.1
libldac 2.0.2.3-2.1
libldap 2.6.10-2
libliftoff 0.5.0-1.1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
libltc 1.3.2-2.1
libmaxminddb 1.12.2-2.2
libmbim 1.32.0-1.1
libmd 1.1.0-2.1
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-6.1
libmpc 1.3.1-2.1
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1.1
libmpeg2 0.5.1-11.1
libmysofa 1.3.3-1.1
libndp 1.9-1.2
libnet 2:1.3-1.2
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-1.1
libnfnetlink 1.0.2-2.1
libnftnl 1.3.0-1.1
libnghttp2 1.67.1-1.1
libnghttp3 1.12.0-1.1
libnice 0.1.22-2.1
libnl 3.11.0-1.1
libnm 1.54.1-1
libnma 1.10.6-3.1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.7-1.1
libnsl 2.0.1-1.1
libnvme 1.15-1
libogg 1.3.6-1.1
libopenmpt 0.8.3-1.1
libopenraw 0.3.7-2.1
libp11-kit 0.25.9-1.1
libpcap 1.10.5-3.1
libpciaccess 0.18.1-2.1
libpgm 5.3.128-3.1
libpipeline 1.5.8-1.1
libpipewire 1:1.4.8-2.1
libplacebo 7.351.0-2.1
libplist 2.7.0-1.1
libpng 1.6.50-1.1
libproxy 0.5.11-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r43+g3e2bb8a1e-1.1
libqmi 1.36.0-1.1
libqrtr-glib 1.2.2-4.1
libraqm 0.10.3-1.1
libraw1394 2.1.2-4.1
librsvg 2:2.61.1-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.5.6-1.1
libsecret 0.21.7-1.1
libsigc++ 2.12.1-1.2
libsigc++-3.0 3.6.0-1.2
libsm 1.2.6-1.2
libsndfile 1.2.2-3.1
libsodium 1.0.20-1.1
libsoup3 3.6.5-1
libsoxr 0.1.3-4.1
libsrtp 1:2.7.0-1.1
libssh 0.11.3-1.1
libssh2 1.11.1-1.1
libstemmer 3.0.1-1.1
libsysprof-capture 49.0-1.1
libtasn1 4.20.0-1.1
libteam 1.32-2.1
libthai 0.1.29-3.1
libtheora 1.2.0-1.1
libtiff 4.7.1-1.1
libtirpc 1.3.7-1.1
libtool 2.6.0-1
libunibreak 6.1-1.2
libunistring 1.3-1.1
libunwind 1.8.2-1.1
liburcu 0.15.3-1.1
liburing 2.12-1.1
libusb 1.0.29-1.1
libusbmuxd 2.1.1-1.1
libuv 1.51.0-1
libva 2.22.0-1.1
libvdpau 1.5-3.1
libverto 0.3.2-5.1
libvorbis 1.3.7-4.1
libvpl 2.15.0-1.1
libvpx 1.15.0-1.1
libwacom 2.16.1-1
libwebp 1.6.0-2.1
libwireplumber 0.5.11-1.1
libwnck3 43.3-1.1
libx11 1.8.12-1.1
libx86emu 3.7-2.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.6-2.1
libxcrypt 4.4.38-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.6-2.1
